Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Brazil,2008,COVID-19,Neurological,5.44,12.94,1.05,36-60,Female,808477,96.7,0.75,2.16,Surgery,15780,No,53.54,1576,7.92,68389,0.71,43.55
Italy,2009,Ebola,Bacterial,8.14,5.38,6.76,36-60,Female,918892,99.28,2.61,6.21,Vaccination,13164,Yes,86.96,1958,3.43,59190,0.49,73.52
India,2016,Diabetes,Metabolic,14.65,5.55,8.67,36-60,Female,400085,63.35,3.85,3.17,Vaccination,9490,Yes,58.95,3366,5.62,97601,0.79,44.66
South Africa,2019,Rabies,Bacterial,9.55,1.54,5.17,61+,Female,382638,70.19,4.88,9.36,Medication,25982,Yes,58.26,4721,4.95,97266,0.7,43.41
Japan,2001,Malaria,Autoimmune,0.36,1.89,4.26,61+,Male,958319,93.15,0.78,6.03,Vaccination,9802,No,65.26,4108,7.88,40651,0.9,80.37
Germany,2007,Alzheimer's Disease,Metabolic,3.89,11.79,5.09,61+,Other,765772,73.08,3.19,6.56,Vaccination,41489,No,83.87,289,8.23,85047,0.67,23.04
Turkey,2007,Dengue,Infectious,11.91,1.55,9.44,0-18,Female,804315,83.71,2.12,3.33,Surgery,25459,Yes,80.12,581,0.35,5567,0.71,50.25
UK,2024,Malaria,Metabolic,14.36,4.15,5.49,0-18,Female,483764,76.82,3.12,6.39,Medication,13168,Yes,70.79,3052,6.0,45328,0.56,55.54
Indonesia,2005,Hypertension,Viral,4.62,13.17,1.51,36-60,Female,851312,94.15,2.94,1.01,Vaccination,27084,No,53.12,927,3.71,82718,0.49,65.27
UK,2011,Parkinson's Disease,Chronic,1.62,14.4,5.66,19-35,Female,118633,92.55,4.3,5.67,Vaccination,13822,No,96.74,254,8.59,30838,0.51,70.26
Russia,2009,Diabetes,Infectious,19.42,5.59,4.19,36-60,Other,525009,74.1,3.88,0.5,Vaccination,24708,No,57.99,2486,0.86,46732,0.79,52.71
Italy,2010,Alzheimer's Disease,Respiratory,1.62,6.93,4.08,61+,Female,408687,76.17,2.0,8.02,Therapy,9529,No,84.08,28,3.57,23342,0.81,77.42
Canada,2017,Polio,Metabolic,6.61,10.75,8.25,0-18,Female,455631,65.98,3.71,4.19,Medication,31063,Yes,55.53,1778,8.75,72636,0.69,65.76
Italy,2013,Ebola,Respiratory,1.8,6.05,0.63,36-60,Other,936801,73.87,1.81,3.15,Vaccination,259,No,60.64,4901,2.23,95466,0.75,40.54
Russia,2000,Influenza,Genetic,14.75,7.02,0.55,0-18,Other,304982,57.92,2.88,1.12,Surgery,19256,Yes,94.06,992,5.37,10440,0.47,64.42
Saudi Arabia,2012,Diabetes,Autoimmune,5.46,14.25,9.91,61+,Male,572474,86.12,3.5,4.7,Surgery,15006,Yes,87.76,2670,8.61,36013,0.5,30.72
South Africa,2024,Cancer,Metabolic,7.52,4.27,4.89,19-35,Male,825890,92.74,2.97,5.02,Surgery,16396,No,80.68,2732,5.45,99255,0.61,78.83
Germany,2008,COVID-19,Autoimmune,12.25,4.85,1.78,61+,Male,650003,76.49,2.15,2.59,Medication,41538,No,98.27,4524,0.69,88642,0.71,38.08
Argentina,2019,Malaria,Genetic,18.03,3.41,6.69,61+,Female,291588,82.79,1.05,1.99,Surgery,26521,Yes,98.29,2096,3.34,4515,0.77,75.54
South Africa,2005,Measles,Parasitic,19.19,8.64,0.18,0-18,Other,958214,87.08,2.25,0.82,Medication,28571,Yes,76.78,3240,7.8,45394,0.54,68.4
Canada,2021,Zika,Chronic,16.21,12.47,3.45,61+,Male,180572,51.41,1.65,9.18,Surgery,38696,No,95.87,4354,7.77,56972,0.83,71.69
China,2000,HIV/AIDS,Metabolic,11.7,7.01,8.96,61+,Other,349645,57.89,1.0,6.92,Surgery,48962,Yes,83.43,4219,4.58,78958,0.49,85.31
Argentina,2010,Tuberculosis,Neurological,12.35,13.69,3.41,36-60,Female,358533,71.6,1.52,5.72,Vaccination,43071,No,52.11,158,7.65,72575,0.84,27.95
South Africa,2007,Hypertension,Genetic,5.18,14.95,1.19,36-60,Male,567221,98.26,3.63,7.94,Vaccination,10047,Yes,75.64,2434,1.31,61059,0.45,22.56
Italy,2007,Diabetes,Chronic,12.37,13.87,0.94,36-60,Male,769078,78.12,4.86,7.43,Vaccination,47545,No,59.57,3268,6.89,99932,0.46,24.09
Mexico,2009,Leprosy,Bacterial,12.35,10.87,9.46,19-35,Female,510864,90.36,1.88,6.48,Vaccination,25681,Yes,94.41,3007,0.12,57155,0.68,42.62
Russia,2022,Zika,Infectious,5.46,9.86,3.87,61+,Male,552890,50.29,4.82,4.74,Surgery,48916,No,50.21,2110,1.23,79250,0.43,42.11
India,2017,Asthma,Parasitic,18.87,4.21,3.12,61+,Female,20399,76.97,1.69,9.47,Medication,30132,No,84.41,1551,5.79,52873,0.49,66.0
Nigeria,2023,Alzheimer's Disease,Respiratory,14.76,6.68,6.8,36-60,Male,449816,70.91,3.54,2.35,Vaccination,4550,Yes,92.12,3619,6.13,19004,0.47,62.57
Turkey,2010,Parkinson's Disease,Metabolic,11.35,14.26,1.61,61+,Male,823235,98.72,1.12,8.5,Surgery,18432,No,70.13,2450,1.59,24071,0.57,56.18
South Africa,2016,Rabies,Autoimmune,19.54,3.22,7.04,61+,Female,729720,52.83,2.74,3.25,Medication,5413,No,73.19,2848,9.44,73423,0.89,24.93
France,2022,Dengue,Neurological,19.3,2.73,2.06,0-18,Other,404701,63.02,2.0,5.84,Vaccination,15006,Yes,72.61,4364,8.01,24597,0.51,32.87
Japan,2005,Hypertension,Parasitic,8.85,11.02,1.9,36-60,Female,242595,79.66,2.82,6.5,Surgery,42425,Yes,55.75,4868,5.24,91270,0.63,58.77
China,2016,COVID-19,Genetic,11.99,3.64,8.18,0-18,Male,640276,91.27,3.36,7.59,Surgery,9115,Yes,95.45,2957,8.82,16061,0.61,72.87
Saudi Arabia,2018,Leprosy,Bacterial,6.9,6.11,9.28,61+,Female,425703,64.02,3.95,8.55,Surgery,48630,Yes,74.68,2606,3.83,67676,0.55,80.81
Russia,2015,Rabies,Neurological,16.84,2.84,2.76,36-60,Male,406332,52.37,4.82,2.87,Surgery,12212,Yes,67.93,986,5.75,19554,0.55,70.98
Saudi Arabia,2022,Leprosy,Parasitic,5.45,8.96,6.42,61+,Male,632370,65.11,3.96,9.07,Vaccination,12688,No,57.15,2124,4.39,35369,0.56,67.35
Russia,2019,Malaria,Autoimmune,18.16,10.01,3.65,36-60,Other,408389,74.9,2.34,4.56,Surgery,33150,Yes,56.72,2950,6.51,42875,0.54,47.77
Mexico,2020,Diabetes,Bacterial,20.0,8.4,8.41,0-18,Female,633491,52.97,3.21,3.56,Therapy,2304,No,65.16,2471,6.0,50634,0.8,60.96
Argentina,2024,HIV/AIDS,Viral,14.39,9.04,8.04,0-18,Male,832255,85.75,4.63,7.08,Vaccination,39346,Yes,88.91,4707,0.82,46124,0.44,66.62
China,2019,Asthma,Neurological,2.02,11.08,9.76,61+,Female,10161,89.01,3.16,2.81,Surgery,26347,No,62.45,957,3.9,71637,0.8,71.52
USA,2005,Malaria,Genetic,15.64,13.95,6.13,19-35,Male,135240,72.56,4.74,1.35,Vaccination,16320,No,98.56,709,2.71,89780,0.86,79.71
USA,2022,Alzheimer's Disease,Parasitic,5.37,4.1,4.51,0-18,Other,576326,62.99,2.76,5.61,Medication,21516,No,53.72,1129,8.01,6492,0.56,57.64
India,2003,Influenza,Infectious,6.88,6.9,5.85,36-60,Female,106071,97.77,4.69,7.7,Vaccination,10800,Yes,78.2,4159,0.92,14314,0.76,60.99
France,2001,Polio,Chronic,5.88,6.93,0.99,19-35,Male,413743,55.97,2.74,5.82,Therapy,43611,Yes,97.85,449,3.14,9397,0.89,58.97
Turkey,2017,Cholera,Autoimmune,1.19,8.57,6.37,0-18,Other,665277,99.29,3.46,5.73,Medication,16670,Yes,85.49,3454,1.26,86092,0.64,71.22
Nigeria,2002,Cholera,Bacterial,5.19,13.82,1.84,36-60,Male,701741,84.73,3.79,1.1,Medication,1266,Yes,55.31,3079,1.44,85043,0.81,74.35
Saudi Arabia,2010,Cancer,Chronic,3.05,3.04,5.86,36-60,Male,897196,54.51,1.43,3.78,Vaccination,17891,Yes,74.2,3344,1.81,84057,0.43,80.36
Japan,2006,Cholera,Genetic,3.71,2.66,7.09,36-60,Other,133799,59.39,3.51,7.27,Vaccination,38153,Yes,85.97,1140,8.98,84324,0.5,56.16
Japan,2009,Dengue,Parasitic,7.95,7.34,2.25,0-18,Other,418596,94.46,2.69,3.55,Medication,44489,Yes,60.99,770,2.88,63080,0.63,30.53
UK,2002,Leprosy,Neurological,1.23,5.44,9.75,19-35,Other,386412,65.07,1.07,5.65,Surgery,13616,Yes,84.04,2687,2.36,56266,0.48,69.02
Saudi Arabia,2004,Ebola,Autoimmune,10.78,12.7,0.14,36-60,Other,858252,98.84,3.23,8.94,Surgery,19279,No,61.31,4256,0.97,35595,0.9,20.88
Germany,2024,Diabetes,Metabolic,9.58,8.0,4.89,61+,Female,331329,96.96,3.9,1.87,Therapy,44694,No,98.71,1879,8.24,24340,0.57,39.58
South Korea,2012,Hypertension,Parasitic,5.9,9.51,6.11,36-60,Other,52537,78.1,3.54,6.56,Vaccination,28646,No,77.28,496,4.59,29638,0.73,46.01
Brazil,2021,Diabetes,Parasitic,11.67,1.4,7.15,19-35,Other,791176,79.4,1.36,5.85,Vaccination,31269,Yes,75.46,1523,3.51,39949,0.85,40.13
South Korea,2012,Asthma,Infectious,14.35,5.07,4.52,0-18,Other,524527,58.62,3.22,1.4,Medication,32451,No,62.84,2250,8.74,65656,0.66,69.05
France,2011,Dengue,Respiratory,0.46,3.4,0.31,19-35,Female,19560,70.69,2.58,2.59,Medication,39024,Yes,56.18,663,4.78,6488,0.58,79.08
South Africa,2023,Parkinson's Disease,Autoimmune,10.69,1.86,7.73,36-60,Female,492704,98.36,1.3,3.5,Surgery,8753,Yes,77.54,772,7.41,24607,0.82,27.62
Nigeria,2019,Diabetes,Autoimmune,17.81,4.7,9.34,0-18,Male,663543,91.31,2.69,1.31,Therapy,22646,No,85.7,500,0.78,78101,0.65,32.21
Nigeria,2007,Asthma,Autoimmune,15.59,8.34,6.42,36-60,Other,612497,80.62,0.87,3.35,Vaccination,8528,No,65.96,2878,9.05,2970,0.83,49.9
Japan,2011,Cancer,Metabolic,4.63,2.94,3.12,19-35,Male,140864,76.73,2.88,4.16,Medication,3120,No,92.48,1472,8.55,31593,0.59,89.57
Germany,2013,COVID-19,Chronic,19.73,9.0,6.08,19-35,Male,930106,70.25,3.05,1.07,Medication,37491,No,63.43,2042,7.68,35495,0.47,32.22
India,2021,Alzheimer's Disease,Autoimmune,17.33,11.06,8.95,36-60,Other,958307,70.83,1.17,4.4,Therapy,1963,Yes,98.96,4241,5.12,24390,0.7,55.93
South Korea,2000,Hepatitis,Cardiovascular,1.32,3.53,8.65,36-60,Other,520652,65.25,4.91,1.63,Surgery,11784,No,91.58,548,3.85,16285,0.89,60.8
South Africa,2003,Cholera,Metabolic,19.87,12.82,3.29,61+,Female,169507,87.94,4.12,7.25,Medication,35943,Yes,96.62,4009,6.94,10460,0.76,86.45
USA,2024,Cancer,Autoimmune,4.95,13.4,4.89,61+,Male,501957,77.37,1.89,1.74,Surgery,28051,Yes,69.35,4880,5.11,69335,0.61,30.2
Nigeria,2023,Hepatitis,Bacterial,11.13,13.31,9.82,61+,Male,996134,54.02,3.01,8.92,Therapy,32926,Yes,64.11,3477,8.33,36894,0.63,60.38
India,2006,Leprosy,Infectious,10.96,6.23,8.32,0-18,Male,829625,85.69,3.49,4.48,Therapy,7914,No,88.66,3951,3.56,67528,0.43,28.61
India,2002,Cholera,Metabolic,18.7,10.46,6.53,19-35,Other,317241,51.8,1.83,8.38,Surgery,39266,Yes,81.53,3271,8.61,21856,0.88,22.45
Indonesia,2008,Diabetes,Neurological,16.03,2.98,0.79,61+,Female,294634,83.89,2.39,5.44,Surgery,26631,Yes,84.96,520,9.83,25052,0.75,74.45
Australia,2008,Cancer,Metabolic,4.02,10.36,8.76,19-35,Other,162816,73.94,0.9,4.08,Therapy,29540,Yes,57.7,4106,3.84,64363,0.6,40.79
Indonesia,2012,Polio,Genetic,19.22,13.96,8.05,36-60,Female,877164,63.31,4.37,5.32,Vaccination,11716,Yes,58.73,4988,6.76,78654,0.68,79.06
France,2007,Malaria,Cardiovascular,17.1,6.81,3.27,19-35,Female,246017,67.51,1.17,1.92,Medication,33330,No,51.59,4551,4.82,53715,0.79,80.27
Turkey,2010,Cholera,Chronic,17.42,8.43,0.17,61+,Male,537353,84.18,0.89,0.61,Vaccination,47938,No,97.2,2663,5.78,99684,0.75,21.39
South Africa,2001,Influenza,Genetic,10.94,2.09,4.33,0-18,Other,95562,56.36,4.36,2.73,Medication,20077,No,70.01,2756,5.63,94429,0.57,74.46
Turkey,2023,Asthma,Bacterial,12.23,1.46,8.93,36-60,Female,488959,69.54,3.69,4.17,Medication,31727,No,52.64,3151,8.17,46675,0.51,52.39
Saudi Arabia,2017,COVID-19,Viral,2.05,13.53,7.53,36-60,Male,428054,78.77,0.74,5.06,Vaccination,23913,No,82.29,2498,3.24,9389,0.84,69.78
Argentina,2002,Ebola,Cardiovascular,12.12,6.71,1.25,61+,Female,491939,97.47,2.05,8.54,Surgery,19031,No,94.33,4141,1.59,79219,0.4,45.53
UK,2016,Measles,Bacterial,11.89,5.81,4.18,36-60,Female,594978,67.49,1.61,7.39,Medication,26629,No,87.68,4783,7.36,71946,0.46,55.39
Russia,2021,Asthma,Cardiovascular,10.68,1.72,9.09,36-60,Male,184119,97.04,3.5,8.91,Medication,3293,No,83.15,94,3.2,96367,0.72,75.18
China,2011,Polio,Respiratory,0.96,3.66,7.47,36-60,Other,939979,89.41,1.81,1.0,Therapy,39122,No,95.1,911,8.74,18456,0.87,40.92
Saudi Arabia,2015,Tuberculosis,Autoimmune,4.28,8.85,3.59,61+,Male,922376,89.8,1.38,7.11,Vaccination,15543,Yes,87.77,1708,5.67,54485,0.83,51.56
Nigeria,2021,Diabetes,Bacterial,10.51,13.5,7.59,61+,Other,739521,98.01,4.52,8.72,Surgery,30274,No,54.74,1446,3.36,82198,0.45,80.42
Turkey,2001,HIV/AIDS,Metabolic,3.01,3.27,2.1,36-60,Male,130141,62.75,0.5,3.93,Vaccination,38400,Yes,71.43,3580,2.93,47547,0.55,77.31
Australia,2004,Dengue,Bacterial,19.42,2.5,4.22,19-35,Female,97817,80.02,2.31,8.77,Vaccination,26502,Yes,73.01,3597,6.35,5541,0.86,62.82
South Africa,2020,Influenza,Parasitic,6.44,0.82,3.8,61+,Other,359710,95.67,3.31,4.74,Therapy,4523,No,96.76,58,8.95,84380,0.66,40.06
Nigeria,2004,Diabetes,Metabolic,14.06,4.65,2.82,19-35,Other,208331,60.58,4.14,7.31,Therapy,12036,Yes,64.46,2878,0.67,20415,0.54,88.07
Argentina,2017,Ebola,Bacterial,15.2,14.88,2.59,61+,Female,226490,60.98,1.98,9.99,Medication,13940,No,68.62,1150,4.98,91778,0.45,31.11
USA,2014,COVID-19,Chronic,1.62,2.69,6.84,19-35,Other,534563,78.07,1.78,1.32,Vaccination,14830,No,87.27,3075,0.38,95733,0.5,72.71
South Korea,2017,Measles,Chronic,17.41,10.79,6.78,36-60,Male,490456,90.15,0.6,9.5,Vaccination,20673,No,80.04,3298,4.24,67588,0.47,36.97
Saudi Arabia,2013,Cancer,Infectious,2.82,8.38,3.86,19-35,Male,968943,81.55,4.33,4.65,Therapy,8526,No,73.73,2561,8.67,49514,0.54,39.16
South Korea,2002,Asthma,Chronic,18.04,11.16,3.66,61+,Female,620949,64.82,3.76,4.22,Therapy,4701,Yes,71.96,3330,3.34,96144,0.6,81.19
Brazil,2011,Zika,Neurological,17.98,3.26,4.05,36-60,Other,96588,60.96,4.87,8.04,Vaccination,9974,No,53.7,2429,0.3,98041,0.68,39.4
India,2011,Leprosy,Chronic,17.1,12.47,3.65,36-60,Other,207281,91.94,4.87,3.56,Therapy,2686,No,84.34,2699,1.82,65228,0.62,82.87
South Africa,2014,Alzheimer's Disease,Metabolic,16.07,11.37,1.86,36-60,Male,790108,57.29,1.7,8.35,Therapy,39715,No,63.44,906,1.98,81771,0.43,83.42
Canada,2011,Measles,Parasitic,0.97,2.87,7.77,61+,Other,771017,77.09,3.45,9.32,Vaccination,45178,Yes,97.54,16,4.55,98488,0.81,33.38
Nigeria,2016,Diabetes,Chronic,15.93,11.79,1.98,19-35,Female,307564,95.91,0.99,4.97,Therapy,49856,No,71.79,862,0.23,86578,0.43,58.7
Indonesia,2024,Alzheimer's Disease,Infectious,14.35,7.81,4.1,0-18,Female,934510,83.92,1.5,2.97,Vaccination,22824,No,65.09,2717,1.13,72338,0.81,54.94
Nigeria,2015,Cancer,Neurological,6.9,2.02,8.79,36-60,Female,330376,95.01,4.18,2.44,Vaccination,36579,No,51.37,261,2.76,67259,0.83,24.07
Nigeria,2007,Measles,Autoimmune,1.01,10.85,7.78,0-18,Female,492704,98.65,2.41,2.17,Surgery,23205,Yes,56.59,2977,2.82,73419,0.7,55.79
Turkey,2018,Hypertension,Metabolic,4.6,3.81,4.61,36-60,Male,656400,84.81,2.63,3.55,Therapy,979,Yes,86.93,1310,7.93,71614,0.69,60.19
Argentina,2021,Alzheimer's Disease,Cardiovascular,10.32,1.07,8.94,19-35,Male,737343,88.6,1.8,3.89,Therapy,19206,Yes,76.53,4368,3.03,45516,0.75,89.61
Mexico,2008,Polio,Metabolic,15.94,10.15,6.41,0-18,Female,473216,89.84,3.54,0.94,Medication,201,No,81.57,3120,2.73,1161,0.4,21.16
Mexico,2014,Polio,Bacterial,9.49,8.58,7.21,36-60,Female,208682,65.65,0.68,1.2,Therapy,37840,No,91.32,3748,9.44,23225,0.58,20.57
Australia,2012,Zika,Cardiovascular,16.74,8.14,9.1,36-60,Male,913938,91.84,3.15,3.32,Surgery,15883,No,66.23,354,9.07,41006,0.56,28.94
France,2009,COVID-19,Neurological,12.67,4.82,9.49,36-60,Female,542095,51.89,4.77,2.41,Medication,23209,No,94.81,85,5.23,25891,0.45,41.72
South Africa,2011,Parkinson's Disease,Cardiovascular,7.1,3.36,4.98,19-35,Male,657471,75.19,1.46,2.93,Medication,46136,No,90.82,3996,6.31,74703,0.42,27.96
Saudi Arabia,2019,COVID-19,Infectious,10.91,12.85,9.86,0-18,Other,263204,92.24,2.84,4.21,Medication,27322,No,58.6,2712,1.2,23536,0.6,39.18
UK,2004,Measles,Viral,15.39,2.91,6.29,36-60,Male,553275,67.64,0.59,2.13,Vaccination,13619,No,71.53,3262,9.29,79813,0.7,42.31
Japan,2010,Parkinson's Disease,Bacterial,12.25,1.93,6.57,36-60,Other,971800,93.19,2.29,8.82,Surgery,27853,No,82.03,2565,9.51,65642,0.6,40.69
Nigeria,2014,Hepatitis,Cardiovascular,10.35,1.4,2.46,0-18,Other,946879,50.33,1.87,5.39,Vaccination,48954,No,50.32,3295,7.74,95907,0.46,81.16
Brazil,2000,Rabies,Autoimmune,12.95,12.14,1.13,36-60,Other,897464,54.32,0.82,8.05,Surgery,3973,No,69.07,2510,1.76,82860,0.41,70.02
Australia,2005,Alzheimer's Disease,Bacterial,2.7,3.92,7.36,36-60,Female,268159,85.91,2.11,7.58,Vaccination,19632,Yes,75.7,4569,1.75,8704,0.67,56.15
South Africa,2001,Zika,Cardiovascular,15.28,12.55,0.73,61+,Male,117423,95.55,4.52,1.45,Medication,10741,No,53.68,854,3.2,53291,0.76,26.35
South Korea,2013,Dengue,Infectious,16.14,5.87,3.12,61+,Other,436060,93.98,3.9,5.55,Medication,29472,Yes,98.29,2829,7.22,11311,0.72,51.56
India,2019,Alzheimer's Disease,Respiratory,15.48,8.18,5.43,36-60,Female,51949,74.48,0.5,10.0,Vaccination,7707,Yes,89.66,1266,3.56,36292,0.66,40.83
South Korea,2024,Parkinson's Disease,Autoimmune,15.51,8.43,5.58,0-18,Other,102760,52.64,1.3,4.71,Surgery,8350,No,80.62,3674,1.86,60604,0.49,21.35
Japan,2023,Diabetes,Genetic,1.41,3.63,7.97,0-18,Other,895476,73.81,1.81,7.67,Vaccination,29171,Yes,88.71,1179,4.76,74488,0.83,23.51
Argentina,2022,Cancer,Metabolic,14.61,10.02,2.76,0-18,Other,832283,92.93,0.6,9.3,Medication,5664,Yes,61.13,310,5.95,98177,0.75,80.93
South Africa,2002,Diabetes,Bacterial,17.44,2.28,4.34,0-18,Male,522420,66.66,4.37,3.77,Therapy,21998,No,88.49,1558,5.03,9957,0.77,52.58
Turkey,2004,Influenza,Metabolic,0.69,5.32,7.46,0-18,Other,441962,94.2,3.95,3.37,Vaccination,20967,Yes,83.88,4647,0.94,24252,0.66,50.1
France,2013,Diabetes,Metabolic,17.93,2.91,9.95,36-60,Other,934538,65.71,2.01,8.5,Medication,19224,No,58.37,1693,1.4,17359,0.59,47.94
China,2015,Diabetes,Metabolic,9.77,13.38,7.3,0-18,Other,293634,50.16,4.49,1.74,Therapy,8982,No,80.56,460,6.51,17025,0.69,63.88
Nigeria,2013,Influenza,Cardiovascular,5.31,7.9,6.39,19-35,Female,64413,56.7,1.23,5.2,Surgery,2067,Yes,85.49,3770,1.51,40169,0.82,40.06
China,2024,Diabetes,Respiratory,6.8,12.66,6.49,19-35,Other,944895,73.46,4.64,7.84,Medication,5561,No,50.06,640,2.83,99134,0.56,21.1
Saudi Arabia,2007,Rabies,Parasitic,10.99,6.88,3.78,19-35,Male,898159,55.17,2.14,5.56,Vaccination,23736,No,83.86,4064,6.31,37625,0.49,25.47
China,2020,Malaria,Neurological,7.81,2.24,8.67,61+,Female,594339,63.45,0.8,2.86,Surgery,29742,No,55.98,1288,8.5,5954,0.83,85.54
USA,2005,Malaria,Viral,14.86,8.08,2.92,0-18,Male,373270,66.26,2.06,0.83,Surgery,33521,No,86.64,3156,1.49,58483,0.52,21.78
Japan,2009,Measles,Cardiovascular,13.69,5.5,0.63,61+,Male,614533,64.99,3.84,8.17,Therapy,41071,Yes,87.33,1425,8.96,44792,0.4,21.96
Saudi Arabia,2014,Leprosy,Bacterial,19.09,14.88,1.59,36-60,Other,232975,53.3,2.38,2.81,Therapy,41508,Yes,53.52,48,4.04,71935,0.84,39.88
Canada,2015,COVID-19,Neurological,17.65,2.69,0.79,36-60,Other,826861,53.16,4.15,5.36,Vaccination,9149,Yes,51.62,3815,0.1,80923,0.71,76.3
France,2018,Influenza,Infectious,9.54,9.03,6.63,36-60,Other,427061,74.61,2.38,2.99,Surgery,29705,Yes,94.31,3576,2.47,86503,0.41,80.08
South Africa,2005,Cancer,Parasitic,0.86,7.5,1.07,0-18,Male,518737,51.35,4.84,1.04,Medication,23339,Yes,57.26,3931,3.04,58482,0.53,41.92
USA,2003,Zika,Respiratory,15.65,1.28,6.17,61+,Other,278033,90.58,3.82,7.79,Surgery,23284,No,96.62,3589,2.31,49307,0.81,66.55
Japan,2021,Hepatitis,Autoimmune,0.11,3.81,9.92,0-18,Other,283921,76.56,2.41,7.92,Surgery,6845,No,83.63,2055,6.13,12063,0.5,81.72
UK,2022,Leprosy,Infectious,5.21,2.02,3.6,0-18,Other,280122,63.58,2.48,6.8,Surgery,4224,Yes,52.34,1940,4.74,53834,0.45,29.24
Italy,2022,Tuberculosis,Chronic,15.74,14.48,4.08,36-60,Male,332070,97.93,2.93,1.87,Medication,8200,Yes,75.17,3415,0.49,35789,0.42,76.3
Japan,2023,Parkinson's Disease,Bacterial,12.96,7.39,0.24,0-18,Male,634961,96.36,1.85,7.81,Therapy,33689,Yes,74.09,1137,8.58,10682,0.53,63.98
Australia,2002,Leprosy,Viral,13.3,3.87,9.14,0-18,Male,631270,55.91,2.06,8.5,Vaccination,22732,No,91.62,2354,2.49,84757,0.52,83.19
South Africa,2005,Rabies,Respiratory,2.64,12.97,2.12,61+,Male,643442,71.91,2.51,6.52,Therapy,17551,No,68.35,1652,4.65,56950,0.58,30.59
USA,2016,Influenza,Genetic,16.95,4.78,0.21,0-18,Male,756414,78.44,2.78,2.6,Vaccination,31520,No,79.56,3155,0.7,39725,0.68,32.67
Brazil,2011,Alzheimer's Disease,Metabolic,5.05,10.98,0.91,61+,Female,484849,56.21,1.57,8.82,Medication,30616,Yes,80.19,894,9.52,6770,0.48,57.14
Mexico,2002,Leprosy,Genetic,10.05,5.94,5.87,61+,Male,690124,84.43,3.9,6.82,Medication,44764,Yes,72.69,1138,6.05,15878,0.68,60.7
Argentina,2014,Leprosy,Genetic,2.68,9.11,3.08,0-18,Other,77545,66.04,3.58,6.62,Surgery,24487,Yes,82.82,4667,2.68,27570,0.5,78.58
Saudi Arabia,2010,Leprosy,Infectious,2.11,3.5,9.57,61+,Female,590653,89.06,3.15,6.23,Medication,32360,Yes,65.1,2188,4.78,51694,0.66,38.21
South Korea,2017,Hepatitis,Respiratory,3.49,0.98,8.52,19-35,Female,576507,64.0,4.45,7.55,Therapy,30682,Yes,54.78,854,5.04,67255,0.6,68.57
Mexico,2010,Rabies,Bacterial,7.15,5.24,4.5,61+,Male,368616,96.53,1.85,1.05,Vaccination,34260,No,76.22,3728,9.74,5231,0.73,46.7
Italy,2014,Tuberculosis,Autoimmune,0.94,4.24,5.79,19-35,Male,363210,64.46,3.89,6.01,Vaccination,41327,Yes,86.25,2952,1.09,52544,0.41,80.34
Russia,2015,Rabies,Neurological,11.36,11.24,8.82,19-35,Other,96299,68.24,1.18,7.82,Therapy,20857,Yes,81.21,3673,8.25,17362,0.61,48.29
China,2001,Leprosy,Infectious,19.05,4.71,4.77,61+,Male,92424,73.75,2.99,1.57,Surgery,21467,No,96.0,4906,2.04,31249,0.78,74.82
Indonesia,2018,Hypertension,Metabolic,15.08,0.48,5.59,19-35,Female,462346,72.16,1.68,9.19,Vaccination,17856,Yes,53.58,1970,7.89,53963,0.45,84.8
USA,2017,Alzheimer's Disease,Viral,5.57,0.74,1.48,19-35,Other,979736,60.67,3.36,6.35,Surgery,26835,No,62.6,356,2.75,20127,0.61,64.18
Turkey,2016,Ebola,Cardiovascular,10.54,10.53,6.43,36-60,Other,231312,62.3,1.24,7.12,Therapy,27230,No,81.62,23,0.67,44818,0.45,70.02
South Korea,2001,Diabetes,Respiratory,16.45,10.16,4.95,61+,Other,70532,51.69,4.53,1.96,Medication,23280,No,86.86,2760,1.3,96274,0.65,83.47
UK,2000,Cholera,Parasitic,0.94,4.82,0.64,61+,Other,600907,93.48,3.15,6.75,Therapy,14548,Yes,81.17,723,6.9,23512,0.58,57.62
USA,2002,Alzheimer's Disease,Genetic,18.07,8.88,5.88,0-18,Other,487797,96.18,3.41,6.59,Vaccination,38339,Yes,64.19,393,7.67,40404,0.62,77.88
Russia,2016,Rabies,Infectious,12.58,5.56,2.59,19-35,Other,920023,76.51,4.52,4.23,Surgery,21324,No,52.15,4790,6.7,98467,0.78,30.98
Turkey,2009,Tuberculosis,Parasitic,18.32,5.03,5.8,61+,Other,130613,60.1,3.19,7.53,Surgery,2546,Yes,67.85,4496,6.52,48839,0.47,40.21
South Korea,2018,Influenza,Cardiovascular,15.86,10.78,7.8,61+,Female,836468,84.69,2.63,9.64,Vaccination,961,Yes,86.87,2757,8.95,73563,0.47,80.24
China,2000,Hypertension,Chronic,16.32,4.45,9.87,0-18,Other,976856,61.99,3.34,5.89,Vaccination,40042,Yes,69.59,1291,6.26,71553,0.77,39.54
